conversation_history	query	rewrited_query	answer	unique_idx	refered_turn	candidates
"[""turn 1: I want a WAV audio file titled audio_sample.wav. -> I've created your WAV file 'audio_sample.wav'. You can open it at content://documents/audio_sample.wav"", ""turn 2: Play content://documents/audio_sample.wav -> Now playing 'audio_sample.wav' from content://documents/audio_sample.wav."", 'turn 3: Could you pull up an email address from my directory? -> I’ve got an email address for you: content://contacts/email/8']"	Play that WAV audio sample	Play content://documents/audio_sample.wav	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/audio_sample.wav', 'mime_type': 'audio/wav'}}	ACTION_CREATE_DOCUMENT-35-ACTION_OPEN_CONTENT-1-ACTION_PICK-1_NR-ACTION_OPEN_CONTENT-1	1	['ACTION_VIEW_CONTACT', 'ACTION_VIDEO_CAPTURE', 'ACTION_OPEN_CONTENT', 'play_video', 'ACTION_NAVIGATE_TO_LOCATION']
"['turn 1: Open an audio track. -> Here’s the audio track you selected: content://media/audio/track1.mp3', ""turn 2: Save content://media/audio/track1.mp3 as a new MP3 file named Track1Copy.mp3 -> Here's your MP3 copy: content://documents/Track1Copy.mp3"", 'turn 3: Edit content://documents/Track1Copy.mp3 to insert a 3-second fade-in effect -> Applied a 3‑second fade‑in effect to your audio. The updated file is ready here: content://documents/Track1Copy.mp3']"	Open that audio track.	Open content://media/audio/track1.mp3	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://media/audio/track1.mp3', 'mime_type': 'audio/mpeg'}}	ACTION_OPEN_DOCUMENT-145-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1-ACTION_OPEN_CONTENT-1	1	['ACTION_EDIT_ALARM', 'ACTION_SET_ALARM', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_EDIT_DOCUMENT', 'ACTION_OPEN_CONTENT']
"[""turn 1: I want to choose a single PDF report. -> Here's the report you selected: content://docs/annual_report.pdf"", 'turn 2: Could you let me pick a single text file from my device? -> Sure—opening your text files. Pick one to proceed.', ""turn 3: Alright, let's make a new text file called Notes.txt. -> Done—'Notes.txt' has been created at content://documents/Notes.txt. Ready when you are to start typing.""]"	Open that report	Open content://docs/annual_report.pdf	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://docs/annual_report.pdf'}}	ACTION_GET_CONTENT-174-ACTION_OPEN_DOCUMENT-1_NR-ACTION_CREATE_DOCUMENT-1-ACTION_OPEN_CONTENT-2	1	['ACTION_INSERT_EVENT', 'ACTION_SHOW_ALARMS', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_OPEN_CONTENT', 'get_contact_info_from_uri']
['turn 1: Photograph this bar code and store at content://codes/barcode/bar_001.png -> Barcode photo taken—find it at content://codes/barcode/bar_001.png.', 'turn 2: Please launch LinkedIn so I can update my professional profile. -> LinkedIn launched—ready for your profile updates.', 'turn 3: Start the video camera app immediately so I can record something. -> Video app opened. You’re all set to record!']	Open that barcode picture.	Open content://codes/barcode/bar_001.png	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://codes/barcode/bar_001.png', 'mime_type': 'image/png'}}	ACTION_IMAGE_CAPTURE-374-launch_application-1_NR-INTENT_ACTION_VIDEO_CAMERA-1_NR-ACTION_OPEN_CONTENT-1	1	['ACTION_VIDEO_CAPTURE', 'ACTION_OPEN_CONTENT', 'open_settings', 'ACTION_EDIT_CONTACT', 'launch_application']
['turn 1: Film a demonstration and store at content://media/demos/demo.mov. -> Demonstration recorded successfully: content://media/demos/demo.mov.', 'turn 2: Play content://media/demos/demo.mov now -> Playing your demonstration video now.', 'turn 3: Could you help me see which timers are operational right now? -> Here are your active timers: [5 minutes – Pasta, 15 minutes – Oven cleaning, 2 minutes – Steeping tea]']	Open the demonstration video.	Open content://media/demos/demo.mov.	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://media/demos/demo.mov', 'mime_type': 'video/quicktime'}}	ACTION_VIDEO_CAPTURE-711-ACTION_OPEN_CONTENT-1-ACTION_SHOW_TIMERS-1_NR-ACTION_OPEN_CONTENT-1	1	['ACTION_EDIT_VIDEO', 'ACTION_IMAGE_CAPTURE', 'ACTION_VIEW_SENT_EMAILS', 'ACTION_PICK', 'ACTION_OPEN_CONTENT']
"['turn 1: Please correct the details for content://contacts/people/nina: name to Nina Simone, company MusicStars, phone 210-0123, email nina@music.com. -> All set! Nina Simone’s contact has been updated with her new details—Company: MusicStars, Phone: 210‑0123, Email: nina@music.com. Here’s the link: content://contacts/people/nina', 'turn 2: Could you set an alarm at 5:50 AM that goes off only on Sundays? -> Alarm set for alarm_id: alarm_no5 - 5:50 AM (Sunday only).', ""turn 3: Change alarm_id: alarm_no5 - 5:50 AM (Sunday only) to 5:50 AM, label it 'Church Time' and disable vibration. -> Got it. Alarm_no5 has been updated to 5:50 AM, labeled 'Church Time', vibration off (Sunday only).""]"	Email her the contract details updated today	Email nina@music.com the contract details updated today	{'plan': 'send_email', 'arguments': {'to': 'nina@music.com', 'body': 'The contract details were updated today.'}}	ACTION_EDIT_CONTACT-110-ACTION_SET_ALARM-1_NR-ACTION_EDIT_ALARM-1-send_email-1	1	['ACTION_SHOW_ALARMS', 'ACTION_SET_ALARM', 'ACTION_EDIT_ALARM', 'ACTION_EDIT_CONTACT', 'send_email']
['turn 1: Please correct the details for content://contacts/people/nina: name to Nina Simone, company MusicStars, phone 210-0123, email nina@music.com. -> All set! Nina Simone’s contact has been updated with her new details—Company: MusicStars, Phone: 210‑0123, Email: nina@music.com. Here’s the link: content://contacts/people/nina', 'turn 2: Could you set an alarm at 5:50 AM that goes off only on Sundays? -> Alarm set for alarm_id: alarm_no5 - 5:50 AM (Sunday only).', 'turn 3: Fetch my current alarms -> You have the following alarms in place: [alarm_id: alarm_no5 - 5:50 AM (Sunday only)].']	Email her about the upcoming MusicStars event	Email nina@music.com about the upcoming MusicStars event	{'plan': 'send_email', 'arguments': {'to': 'nina@music.com', 'subject': 'upcoming MusicStars event'}}	ACTION_EDIT_CONTACT-110-ACTION_SET_ALARM-1_NR-ACTION_SHOW_ALARMS-1-send_email-1	1	['ACTION_CREATE_DOCUMENT', 'ACTION_VIEW_SENT_EMAILS', 'ACTION_IMAGE_CAPTURE', 'get_contact_info_from_uri', 'send_email']
"['turn 1: Pick a Python script. -> Sure thing—please choose a Python (.py) script from your files.', ""turn 2: Actually, create a new one called example.py. -> All set! Your new Python script 'example.py' has been created at content://documents/example.py. Ready when you are to start coding."", 'turn 3: Open content://documents/example.py and insert a basic Python script template with a main function. -> A basic Python script template with a main function has been inserted into example.py. You can start coding at: content://documents/example.py']"	Send that Python script to devteam@example.com with subject 'New script'	Send the selected Python (.py) script to devteam@example.com with subject 'New script'	{'plan': 'send_email', 'arguments': {'to': 'devteam@example.com', 'subject': 'New script'}}	ACTION_OPEN_DOCUMENT-162-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1-send_email-1	1	['ACTION_INSERT_CONTACT', 'ACTION_VIEW_CONTACT', 'play_video', 'ACTION_OPEN_DOCUMENT', 'send_email']
"['turn 1: Fetch an MP3 music file. -> Alright, here’s your MP3: content://media/audio/song.mp3', 'turn 2: Save content://media/audio/song.mp3 as a new MP3 file named SongCopy.mp3 -> Your song copy is all set: content://documents/SongCopy.mp3', ""turn 3: Edit content://documents/SongCopy.mp3 to append a voiceover note -> Your song copy is now open for editing—I've inserted space to append your voiceover note. Check it here: content://documents/SongCopy.mp3""]"	Email that MP3 to lily@example.com with subject 'Listen' and body 'Check out this track!'.	Email content://media/audio/song.mp3 to lily@example.com with subject 'Listen' and body 'Check out this track!'.	{'plan': 'send_email', 'arguments': {'to': 'lily@example.com', 'subject': 'Listen', 'body': 'Check out this track!', 'attachments': ['content://media/audio/song.mp3']}}	ACTION_OPEN_DOCUMENT-146-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1-send_email-1	1	['ACTION_VIEW_CALL_LOG', 'play_video', 'ACTION_GET_RINGTONE', 'send_email', 'ACTION_SET_TIMER']
['turn 1: Play the OGG audio: content://audio/lecture.ogg, MIME audio/ogg. -> Streaming audio lecture.ogg (audio/ogg) from content://audio/lecture.ogg.', 'turn 2: I need to capture a live moment, kindly open the video recording application. -> Video camera is live. Ready for you to record.', 'turn 3: Start filming and save it to content://videos/tutorial.mp4. -> Recording complete. Video saved to content://videos/tutorial.mp4']	Email that audio file to professor@university.edu with subject Lecture Recording and message Here's the recording.	Email content://audio/lecture.ogg to professor@university.edu with subject Lecture Recording and message Here's the recording.	"{'plan': 'send_email', 'arguments': {'to': 'professor@university.edu', 'subject': 'Lecture Recording', 'body': ""Here's the recording."", 'attachments': ['content://audio/lecture.ogg']}}"	ACTION_OPEN_CONTENT-256-INTENT_ACTION_VIDEO_CAMERA-1_NR-ACTION_VIDEO_CAPTURE-1-send_email-1	1	['send_email', 'ACTION_VIEW_WEB_HISTORY', 'ACTION_INSERT_CONTACT', 'ACTION_VIEW_SENT_EMAILS', 'ACTION_NAVIGATE_TO_LOCATION']
"[""turn 1: Hey, let's fix Natalie Reed's phone and address in content://contacts/people/natalie_r. New phone: 555-0001, address: 123 Oak Lane. -> Got it! Opening the contact editor for Natalie Reed (URI: content://contacts/people/natalie_r) with phone 555-0001 and address 123 Oak Lane."", ""turn 2: I'd like to capture a moment; please start the still-image camera. -> Your still camera is up; let's capture a great shot."", 'turn 3: Choose the last photo -> Got it – here’s your last photo: content://temp/last_capture.jpg']"	Send her a text saying 'Your new address at 123 Oak Lane is updated, thanks!'	Send 555-0001 a text saying 'Your new address at 123 Oak Lane is updated, thanks!'	{'plan': 'send_message', 'arguments': {'to': '555-0001', 'message': 'Your new address at 123 Oak Lane is updated, thanks!'}}	ACTION_EDIT_CONTACT-89-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_GET_CONTENT-1-send_message-1	1	['ACTION_GET_RINGTONE', 'ACTION_EDIT_CONTACT', 'send_message', 'ACTION_VIEW_WEB_HISTORY', 'web_search']
