conversation_history	query	rewrited_query	answer	unique_idx	refered_turn	candidates
"['turn 1: Please generate a JPEG image and call it ProfilePic.jpg. -> Your JPEG image “ProfilePic.jpg” is all set at content://documents/ProfilePic.jpg.', ""turn 2: I would like to film something. Could you open my phone's video camera? -> Your phone’s video camera is active—start recording anytime.""]"	Display that image now.	Display content://documents/ProfilePic.jpg now.	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/ProfilePic.jpg'}}	ACTION_CREATE_DOCUMENT-20-INTENT_ACTION_VIDEO_CAMERA-1_NR-ACTION_OPEN_CONTENT-1	1	['ACTION_VIEW_RECENT_APPS', 'ACTION_EDIT_VIDEO', 'get_contact_info', 'ACTION_OPEN_CONTENT', 'ACTION_GET_RINGTONE']
"[""turn 1: I'd like to create a new PowerPoint slide deck titled DraftDeck.pptx. -> DraftDeck.pptx is ready! You can find it here: content://documents/DraftDeck.pptx."", 'turn 2: Add a title slide and a summary slide to content://documents/DraftDeck.pptx. -> Done! DraftDeck.pptx now includes a title slide and a summary slide. You can edit it at content://documents/DraftDeck.pptx.']"	Could you open that slide deck for me?	Could you open the slide deck DraftDeck.pptx at content://documents/DraftDeck.pptx for me?	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/DraftDeck.pptx'}}	ACTION_CREATE_DOCUMENT-16-ACTION_EDIT_DOCUMENT-1-ACTION_OPEN_CONTENT-1	1	['ACTION_EDIT_CONTACT', 'send_message', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_OPEN_CONTENT', 'send_email']
"[""turn 1: Create a ZIP archive with the filename archive.zip. -> Archive 'archive.zip' created successfully. Download it here: content://archives/archive.zip"", 'turn 2: Open content://archives/archive.zip. -> Opening archive file at content://archives/archive.zip.']"	Open that archive	Open content://archives/archive.zip	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://archives/archive.zip'}}	ACTION_CREATE_DOCUMENT-40-ACTION_OPEN_CONTENT-1-ACTION_OPEN_CONTENT-1	1	['search_location', 'ACTION_VIEW_CONTACT', 'ACTION_OPEN_CONTENT', 'open_settings', 'dial']
['turn 1: I want to save a draft web page as DraftPage.html. -> DraftPage.html is ready for you at content://documents/DraftPage.html.', 'turn 2: Could you activate the still photo camera on my phone? -> Still photo camera is now running—ready to click!']	Open that draft page	Open content://documents/DraftPage.html	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/DraftPage.html'}}	ACTION_CREATE_DOCUMENT-12-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_OPEN_CONTENT-1	1	['ACTION_VIDEO_CAPTURE', 'ACTION_SHOW_TIMERS', 'web_search', 'ACTION_OPEN_CONTENT', 'ACTION_SET_ALARM']
"['turn 1: Please create a PDF invoice named Invoice_March2024.pdf. -> Invoice_March2024.pdf has been created successfully at content://documents/Invoice_March2024.pdf.', ""turn 2: Launch the system's still image capture application now. -> Camera launched in still-image mode—snap away!""]"	I'd like to view that PDF invoice.	I'd like to view content://documents/Invoice_March2024.pdf.	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/Invoice_March2024.pdf'}}	ACTION_CREATE_DOCUMENT-15-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_OPEN_CONTENT-1	1	['ACTION_OPEN_CONTENT', 'ACTION_VIEW_CALL_LOG', 'ACTION_IMAGE_CAPTURE', 'ACTION_SET_TIMER', 'ACTION_VIEW_WEB_HISTORY']
"['turn 1: Please generate a JPEG image and call it ProfilePic.jpg. -> Your JPEG image “ProfilePic.jpg” is all set at content://documents/ProfilePic.jpg.', ""turn 2: Insert a new border and logo at the top of content://documents/ProfilePic.jpg. -> I've opened ProfilePic.jpg in the editor and added your new border plus logo at the top. Take a look here: content://documents/ProfilePic.jpg.""]"	Can you display that JPEG image?	Can you display content://documents/ProfilePic.jpg?	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://documents/ProfilePic.jpg'}}	ACTION_CREATE_DOCUMENT-20-ACTION_EDIT_DOCUMENT-1-ACTION_OPEN_CONTENT-1	1	['ACTION_OPEN_CONTENT', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_SET_ALARM', 'ACTION_CREATE_DOCUMENT', 'INTENT_ACTION_VIDEO_CAMERA']
['turn 1: Grab multiple video files for my slideshow. -> Loaded your slideshow videos:\n • content://media/videos/slide1.mp4\n • content://media/videos/slide2.mov\n • content://media/videos/slide3.avi', 'turn 2: Combine content://media/videos/slide1.mp4, content://media/videos/slide2.mov, and content://media/videos/slide3.avi into a new MP4 file named Slideshow.mp4 -> Your slideshow compilation is ready: content://documents/Slideshow.mp4']	Open the third one	Open content://media/videos/slide3.avi	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://media/videos/slide3.avi'}}	ACTION_OPEN_DOCUMENT-144-ACTION_CREATE_DOCUMENT-1-ACTION_OPEN_CONTENT-1	1	['ACTION_VIEW_SENT_MESSAGES', 'send_message', 'ACTION_GET_CONTENT', 'ACTION_OPEN_CONTENT', 'ACTION_VIEW_PLAYLIST']
"[""turn 1: I'd like to upload any type of file for a quick backup. -> Your file has been selected for backup: content://files/backup_archive.zip"", 'turn 2: Mute content://files/backup_archive.zip -> Your file’s audio is muted. Download it here: content://files/backup_archive_muted.zip']"	Open that backup archive	Open content://files/backup_archive.zip	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://files/backup_archive.zip'}}	ACTION_GET_CONTENT-170-ACTION_EDIT_VIDEO-1-ACTION_OPEN_CONTENT-2	1	['ACTION_OPEN_CONTENT', 'ACTION_VIDEO_CAPTURE', 'ACTION_VIEW_RECENT_APPS', 'ACTION_SET_RINGTONE', 'ACTION_CREATE_DOCUMENT']
"[""turn 1: I want to choose a single PDF report. -> Here's the report you selected: content://docs/annual_report.pdf"", 'turn 2: Could you let me pick a single text file from my device? -> Sure—opening your text files. Pick one to proceed.']"	Open that PDF report	Open content://docs/annual_report.pdf	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://docs/annual_report.pdf', 'mime_type': 'application/pdf'}}	ACTION_GET_CONTENT-174-ACTION_OPEN_DOCUMENT-1_NR-ACTION_OPEN_CONTENT-2	1	['ACTION_VIEW_EVENT', 'ACTION_OPEN_CONTENT', 'search_location', 'ACTION_VIEW_WEB_HISTORY', 'ACTION_CREATE_DOCUMENT']
['turn 1: Launch the camera interface and snap a photo. -> Okay, picture taken! You can find it at content://media/external/images/media/12345.', 'turn 2: Show me content://media/external/images/media/12345 -> Here’s the photo you snapped—bringing it up now.']	Show me that picture	Show me content://media/external/images/media/12345	{'plan': 'ACTION_OPEN_CONTENT', 'arguments': {'uri': 'content://media/external/images/media/12345'}}	ACTION_IMAGE_CAPTURE-337-ACTION_OPEN_CONTENT-1-ACTION_OPEN_CONTENT-1	1	['ACTION_OPEN_CONTENT', 'ACTION_VIEW_EVENT', 'dial', 'launch_application', 'ACTION_VIEW_CALL_LOG']
