conversation_history	query	rewrited_query	answer	unique_idx	candidates
['turn 1: Show me the way to 350 Fifth Avenue, New York, NY. -> 350 Fifth Avenue, New York, NY navigation initiated. Follow the turn-by-turn instructions.', 'turn 2: I need to select documents in both text and PDF formats. I plan to pick more than one file; please enable multiple selections. -> Multiple-document selector: files chosen are\n– content://storage/docs/meeting.txt\n– content://storage/docs/summary.pdf']	Create a new PDF from that summary named CombinedSummary.pdf	Create a new PDF from content://storage/docs/summary.pdf named CombinedSummary.pdf	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'application/pdf', 'initial_name': 'CombinedSummary.pdf'}}	ACTION_NAVIGATE_TO_LOCATION-1760-ACTION_OPEN_DOCUMENT-1_NR-ACTION_CREATE_DOCUMENT-1	['INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_VIEW_CONTACT', 'ACTION_SET_ALARM', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_CREATE_DOCUMENT']
"[""turn 1: Please schedule a 2:45 PM alarm every Wednesday called 'Team meeting'. -> Okay, your alarm (ID: alarm_no3) for 'Team meeting' is scheduled weekly on Wednesdays at 2:45 PM."", ""turn 2: Display all alarms -> Displaying your alarms: [alarm_no3 – 2:45 PM every Wednesday, 'Team meeting'].""]"	Set it for 3:00 PM on Tuesdays and Fridays	Set alarm_no3 for 3:00 PM on Tuesdays and Fridays	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 3, 'EXTRA_HOUR': 15, 'EXTRA_MINUTES': 0, 'EXTRA_DAYS': ['Tuesday', 'Friday']}}	ACTION_SET_ALARM-546-ACTION_SHOW_ALARMS-1-ACTION_EDIT_ALARM-1	['ACTION_NAVIGATE_TO_LOCATION', 'ACTION_VIEW_RECENT_APPS', 'ACTION_EDIT_ALARM', 'ACTION_VIEW_SENT_MESSAGES', 'dial']
"[""turn 1: Revise the alarm (ID:14) to 07:00, message 'Yoga time', weekdays repeat, skip UI. -> Alarm 14 updated to 7:00\xa0AM with label “Yoga time,” repeating Monday–Friday. No UI confirmation was shown."", 'turn 2: What alarms are set right now? -> Right now, you’ve got: [alarm_id: 14 - 7:00 AM (Yoga time, Mon–Fri), alarm_id: 18 - 6:45 AM, alarm_id: 21 - 8:30 PM]']"	Update the 8:30 PM alarm: move it to 8:15 PM, label it 'Wind down', turn vibration off, and skip the UI	Update 'alarm_id: 21 - 8:30 PM': move 'alarm_id: 21 - 8:30 PM' to 8:15 PM, label 'alarm_id: 21 - 8:30 PM' 'Wind down', turn vibration off, and skip the UI	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 21, 'EXTRA_HOUR': 20, 'EXTRA_MINUTES': 15, 'EXTRA_MESSAGE': 'Wind down', 'EXTRA_VIBRATE': False, 'EXTRA_SKIP_UI': True}}	ACTION_EDIT_ALARM-1634-ACTION_SHOW_ALARMS-1-ACTION_EDIT_ALARM-1	['ACTION_EDIT_ALARM', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_VIEW_RECENT_APPS', 'ACTION_EDIT_VIDEO', 'ACTION_PICK']
['turn 1: Could you modify alarm 3 to 06:00 on weekdays only? -> Alarm 3 is now set for 6:00\xa0AM, Monday through Friday.', 'turn 2: What alarms are set up currently? -> Here are your alarms right now: [alarm_id: 1 - 7:00 AM, Daily; alarm_id: 2 - 8:30 AM, Daily; alarm_id: 3 - 6:00 AM, Monday–Friday]']	Change the 8:30 AM alarm so that it rings only on weekends	Change 'alarm_id: 2 - 8:30 AM, Daily' so that it rings only on weekends	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 2, 'EXTRA_HOUR': 8, 'EXTRA_MINUTES': 30, 'EXTRA_DAYS': ['Saturday', 'Sunday']}}	ACTION_EDIT_ALARM-1623-ACTION_SHOW_ALARMS-1-ACTION_EDIT_ALARM-1	['ACTION_GET_CONTENT', 'ACTION_EDIT_ALARM', 'ACTION_EDIT_DOCUMENT', 'ACTION_VIEW_WEB_HISTORY', 'ACTION_SET_TIMER']
"[""turn 1: Could you edit alarm 13 to sound at 16:20 with the ringtone 'uri://jazz_beat' and vibrate disabled? -> Alarm 13 set for 4:20\xa0PM with ringtone uri://jazz_beat (“Jazz Beat”) and vibration off."", 'turn 2: Could you display my alarms? -> All set alarms: [alarm_id: 5 - 7:15 AM, alarm_id: 13 - 4:20 PM (Jazz Beat, silent), alarm_id: 19 - 10:00 AM]']"	Change the 10:00 AM alarm to 10:30 AM, set its ringtone to uri://classic_tune, and turn on vibration	Change 'alarm_id: 19 - 10:00 AM' to 10:30 AM, set its ringtone to uri://classic_tune, and turn on vibration	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 19, 'EXTRA_HOUR': 10, 'EXTRA_MINUTES': 30, 'EXTRA_RINGTONE': 'uri://classic_tune', 'EXTRA_VIBRATE': True}}	ACTION_EDIT_ALARM-1633-ACTION_SHOW_ALARMS-1-ACTION_EDIT_ALARM-1	['search_location', 'ACTION_EDIT_ALARM', 'web_search', 'dial', 'INTENT_ACTION_STILL_IMAGE_CAMERA']
['turn 1: Wake me up tomorrow at 5:15 PM. -> Done. Alarm ID alarm_no4 is set for 5:15 PM tomorrow.', 'turn 2: Could you show me the alarms I’ve set? -> Currently scheduled: [alarm_no4 – 5:15 PM tomorrow].']	Change it to 5:00 PM tomorrow.	Change alarm_no4 to 5:00 PM tomorrow.	{'plan': 'ACTION_EDIT_ALARM', 'arguments': {'alarm_id': 4, 'EXTRA_HOUR': 17, 'EXTRA_MINUTES': 0}}	ACTION_SET_ALARM-547-ACTION_SHOW_ALARMS-1-ACTION_EDIT_ALARM-1	['ACTION_OPEN_DOCUMENT', 'ACTION_EDIT_ALARM', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_INSERT_CONTACT', 'ACTION_GET_RINGTONE']
"[""turn 1: Alarm 26 should be at 16:35 every Wednesday with 'uri://pop_tune' ringtone. -> Alarm 26 updated to 4:35\xa0PM every Wednesday using the 'uri://pop_tune' ringtone."", 'turn 2: Help me select a mailing address from my saved contacts. -> There you go! Mailing address selected: content://contacts/address/15']"	Change it to 456 Elm St and add phone 555-6789	Change content://contacts/address/15 to 456 Elm St and add phone 555-6789	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/address/15', 'contact_info': {'address': '456 Elm St', 'phone': '555-6789'}}}	ACTION_EDIT_ALARM-1660-ACTION_PICK-1_NR-ACTION_EDIT_CONTACT-1	['INTENT_ACTION_VIDEO_CAMERA', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_PICK', 'ACTION_EDIT_CONTACT', 'ACTION_IMAGE_CAPTURE']
['turn 1: Give me the postal address of content://profiles/contacts/89. -> The postal address at content://profiles/contacts/89 is 789 Pine Road, Smalltown, CA 90210.', 'turn 2: Retrieve a mailing address from the contacts stored on my phone. -> Opening address picker. Selected: content://contacts/address/89.']	Edit its name to John Doe	Edit content://contacts/address/89's name to John Doe	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/address/89', 'contact_info': {'name': 'John Doe'}}}	get_contact_info-1012-ACTION_PICK-1_NR-ACTION_EDIT_CONTACT-1	['ACTION_EDIT_CONTACT', 'ACTION_EDIT_DOCUMENT', 'ACTION_SHOW_TIMERS', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_VIEW_RECENT_APPS']
['turn 1: Select an Office document in DOCX format. -> Tap to pick a Word document (.docx).', 'turn 2: Create a new Office document in DOCX format named MeetingNotes.docx. -> All done! MeetingNotes.docx is now available at content://documents/MeetingNotes.docx.']	Insert today's summary into it	Insert today's summary into content://documents/MeetingNotes.docx	"{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://documents/MeetingNotes.docx', 'content': ""today's summary""}}"	ACTION_OPEN_DOCUMENT-131-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1	['ACTION_EDIT_DOCUMENT', 'ACTION_VIEW_CALL_LOG', 'ACTION_IMAGE_CAPTURE', 'ACTION_INSERT_CONTACT', 'ACTION_VIEW_CONTACT']
['turn 1: Please let me select multiple text and markdown documents. -> Select one or more text or markdown documents.', 'turn 2: Alright, create a new one named NewNote.md. -> All set — your Markdown file is ready at content://docs/NewNote.md.']	Edit it to append the meeting agenda	Edit content://docs/NewNote.md to append the meeting agenda	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://docs/NewNote.md', 'content': 'meeting agenda'}}	ACTION_OPEN_DOCUMENT-112-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1	['ACTION_OPEN_CONTENT', 'ACTION_EDIT_ALARM', 'open_settings', 'ACTION_EDIT_DOCUMENT', 'ACTION_NAVIGATE_TO_LOCATION']
